"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"akima","akima","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6-3.4",NA,"R (>= 2.0.0)","sp",NA,NA,"tripack","ACM | file LICENSE",NA,"yes",NA,NA,"yes","4.3.0"
"alphavantager","alphavantager","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.3",NA,"R (>= 3.3.0)","dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)",NA,"testthat, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"anytime","anytime","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"asd","asd","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2",NA,"mvtnorm",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"available","available","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.0",NA,"R (>= 3.3.0)","cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, yesno",NA,"usethis, BiocManager, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"babynames","babynames","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.1",NA,"R (>= 2.10)","tibble",NA,"testthat (>= 3.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.3.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
